,Name,Description,Base Modification,Mod Options,Price,HP,Rarity,Book/Link
21,Scannerweave,"This fabric consists of an advanced sensor-blocking textile, used to completely cloak a user from scanners and sensors. It can be applied to any armour.",Upgrade ability of all opposed Stealth checks against sensor and scanner operators once.,None.,(R) 1800,2,6,https://star-wars-rpg-ffg.fandom.com/wiki/Scannerweave
22,Strength Enhancement System,This set of attachments can be used to convert heavy armour into power-armour. This can only be applied to any laminate and full body hard armour suits.,Increase Brawn by 1 while wearing the armour.,"2x ""Athletics Skill +1"", 2x ""Innate Brace Talent""",5500,2,4,https://star-wars-rpg-ffg.fandom.com/wiki/Strength_Enhancement_System
23,Stealth Field Generator,"When one wants to modify their favoured piece of armour rather than acquire a specialised suit, the Stealth Field generator will generally achieve the same goals in terms of Stealth. It can be applied to any armour.",Upgrade difficulty of all opposed Perception checks to spot the wearer once.,"2x ""Add 1 setback die to opposed Perception checks to notice wearer.""",(R) 3800,2,7,https://star-wars-rpg-ffg.fandom.com/wiki/Stealth_Field_Generator
24,Stun Matrix,"By sending a discharge into a close quarters attacker, this attachment seeks to prevent a second attack.","Encumbrance +1. When hit by a melee/brawl/lightsaber weapon, may spend 2 disadvantages from check to disorient the attacker for 2 rounds.","1x ""Spend 3 disadvantages to immobilize attacker for 1 round."", 1x ""Spend critical fail to stagger character for 1 round.""",1700,1 or 3 (?),3,https://star-wars-rpg-ffg.fandom.com/wiki/Stun_Matrix
25,Superior Armour Customization,This modification is a set of tweaks and bits made to generally improve the armour.,Superior quality.,None.,5000,1,6,https://star-wars-rpg-ffg.fandom.com/wiki/Superior_Armour_Customization
26,Threat Monitor,"This suite of motion sensors and photo-receptors allow for a wearer to be constantly aware of their surroundings, or are at least warned of an incoming attack before it's too late.", Add 1 automatic advantage to Initiative checks.,"1x ""Innate Quick Strike talent"", 2x ""Add 1 automatic advantage to Initiative checks.""",750,1,4,https://star-wars-rpg-ffg.fandom.com/wiki/Threat_Monitor
27,"TaggeCo MB-7 ""Ranger"" Range Finder","A simple computer integrated into the helmet with a visual sensor allows on-the-spot range calculations, allowing a long range fighter to appropriately lead and account for external factors when taking a shot. It can be applied to any armour that has a helmet.", Innate Sniper Shot talent.,"1x ""Innate Sniper Shot talent.",1500,1,6,https://star-wars-rpg-ffg.fandom.com/wiki/TaggeCo_MB-7_%22Ranger%22_Range_Finder
28,Tracking System,This suite of sensors assist the wearer to find a target by using multiple sources of data. Often it is used alongside other tracking equipment to very rapidly catch a mark. This can be applied to any armour.,Upgrade ability of checks to track a designated target once. Spend a maneuver to designate a target while within line of sight - or having a tracker or comms line open.,"1x ""Vigilance skill +1"", 1x ""Survival skill +1"".",1000,1,7,https://star-wars-rpg-ffg.fandom.com/wiki/Tracking_System
29,Whipcord Thrower,"This armour attachment is capable of quickly deploying a decent length of high-tensile-strength cable. This may save a user in case of a free fall, reaching objects that may be out of reach, or ensnaring an opponent. It can be applied to any armour with bracers.","May be used as climbing gear to assist in climbing a steep vertical surface, reducing difficulty by 1. Supports a weight of up to 200kg.",None.,600,,1,https://star-wars-rpg-ffg.fandom.com/wiki/Whipcord_Thrower
30,Athakam Medtech SmartMed 2000 Integrated Med-Systems,"This allows armour to not only prevent injury, but also lessen the effects of wounds and even assist in recovery. This full-armour system allows one to keep fighting in spite of the punishment taken. It can be applied to any armour that covers the majority of the body.","Encumbrance +1. Once per session, may activate as an incidental - counting as a one use of a stimpack. All Medicine checks made to heal wearer gain 1 boost dice.","2x ""Heal 1 additional wound for all successful Medicine checks to heal wounds.""",250,2,7,https://star-wars-rpg-ffg.fandom.com/wiki/Athakam_Medtech_SmartMed_2000_Integrated_Med-Systems
31,Droid Brain Defense System,"Using a droid brain chip and installing a set of sensors on the armour, the wearer is alerted to incoming fire in some fashion. More advanced versions include mini repulsor generators that push the wearer out of harm\'s way.",Defense +1.,"1x \""Defense +1 when taking Guarded Stance maneuver.\""",5000,3,6,https://star-wars-rpg-ffg.fandom.com/wiki/Droid_Brain_Defense_System
32,Armour Spikes,Attaching spikes onto one's armour is a sure way to keep others away. May be added to any armour which covers arms or legs.,"When hit by a Melee/Brawl/Lightsaber attack, may use 3 disadvantages to deal 6 damage to attacker. Encumbrance +2.","3x ""Damage +1"", 1x ""Innate Intimidating Talent""",500,3,2,https://star-wars-rpg-ffg.fandom.com/wiki/Armour_Spikes
33,Bio-Support Dispenser,This high tech medical technology is integrated into the battle-armour of a trooper. It comes with a bacta reserve for patching wounds in the middle of combat and sealing general injuries after combat.,"When healing strain at end of an encounter, heal 1 wound as well. First time in an encounter that wounds exceeds half their wound threshold, armour automatically applies a stimpack to character.","1x ""Heal +1 wound at end of encounter.""",4000,1,6,https://star-wars-rpg-ffg.fandom.com/wiki/Bio-Support_Dispenser
34,Biofeedback System,"This attachment allows automatic monitoring of the wearer's vital signs, and administers appropriate treatment when possible. This modification can only be equipped on full-body armour.",Strain Threshold +4,"1x ""Innate Rapid Recovery Talent""",3300,2,5,https://star-wars-rpg-ffg.fandom.com/wiki/Biofeedback_System
35,Boot Blade,"Boot blades are an excellent method by which to avoid being unarmed in any situation. They are a common and relatively cheap modification to make. It can be applied to any armour that includes boots, shoes or other solid footwear.","Retractable blade counts as a weapon with following profile; Skill: Melee, Dam: +1, Crit: 3, Range: Engaged","1x ""Critical Rating -1 (min. 1)"", 2x ""Pierce +1"", 1x ""Vicious +1""",100,0,5,https://star-wars-rpg-ffg.fandom.com/wiki/Boot_Blade
36,Ceremonial Adornment,"Protecting oneself in war times is paramount, however sometimes this may not be considered appropriate or even may be an affront in a diplomatic situation. These adornments make the armour less militaristic in nature, more pleasant to view. It can be applied to any armour.",Remove 2 setback dice from Social skill checks due to wearing armour in socially inappropriate situations. Add 1 setback dice to Coordination checks.,"1x ""Remove 1 setback dice to Coordination checks.""",2500,0,4,https://star-wars-rpg-ffg.fandom.com/wiki/Ceremonial_Adornment
37,Clone Polarized Electrobinoculars,"These binocular attachments are distributed liberally for long range combat deployments of Clone Troopers. They are easy to mount on the helmet, flipping up or down to the visor, providing light filtering and image sharpening. It can be applied to clone trooper armour.",Add 1 boost dice to sight-based Perception checks. Remove 1 setback dice from Perception checks due to distance or low-light conditions.,"1x ""Perception Skill +1""",500,1,4,https://star-wars-rpg-ffg.fandom.com/wiki/Clone_Polarized_Electrobinoculars
38,Cortosis Weave,"This is a special alloy-mesh which is used to make the armour extremely resistant to energy weapons, typically used to protect against lightsabers. This can be applied to any armour.",Gain Cortosis quality.,None.,10000,2,8,https://star-wars-rpg-ffg.fandom.com/wiki/Cortosis_Weave
39,CryonCorp Omniscan 3 Integrated Scanner,"Scouting and Elite units often benefit from having some form of scanner, and having it integrated into one's helmet makes it especially convenient. It can be applied to any armour with a helmet.",Helmet has a General Purpose Scanner integrated. Add 1 boost dice to Perception checks to detect movement or hidden enemies.,"1x ""Perception skill +1""",1000,1,4,https://star-wars-rpg-ffg.fandom.com/wiki/CryonCorp_Omniscan_3_Integrated_Scanner
40,Custom Fit,"Standard sizes of armor allow for most to use the equipment without issue, but a few adjustments, the outfit may be optimized for a single user - to feel like a second skin. It can be applied to any armor.",Remove 1 setback die from Athletics and Stealth checks while wearing the armor.,"1x ""Remove an additional setback die from Athletics and Stealth checks while wearing the armor.""",400,1,3,https://star-wars-rpg-ffg.fandom.com/wiki/Custom_Fit
